FID,CH4,latitude,longitude,State
57424,1.94574311,39.2611375,-103.6586954,Colorado
57430,1.94724984,39.26121383,-103.6571918,Colorado
57436,1.942885,39.26137013,-103.6560711,Colorado
57442,1.94484991,39.26168608,-103.6542044,Colorado
57448,1.94252839,39.26196346,-103.6527005,Colorado
57454,1.94139595,39.26223516,-103.6511902,Colorado
57460,1.94061983,39.26253444,-103.6643156,Colorado
57466,1.94085637,39.26287225,-103.6649112,Colorado
57472,1.93973832,39.26322908,-103.6654915,Colorado
57478,1.9408106,39.26359199,-103.66608,Colorado
57484,1.93995476,39.26395502,-103.6666808,Colorado
57490,1.94195004,39.26418358,-103.6405603,Colorado
57496,1.94098812,39.26462907,-103.6383224,Colorado
57502,1.95173536,39.26488663,-103.5548515,Colorado
57508,1.95140117,39.26491709,-103.557134,Colorado
57514,1.95044302,39.26496432,-103.5582723,Colorado
57520,1.95045038,39.26503539,-103.5597886,Colorado
57526,1.95113575,39.26509027,-103.5506567,Colorado
57532,1.95060494,39.26516168,-103.5499019,Colorado
57538,1.94704165,39.26524387,-103.6361424,Colorado
57544,1.94921016,39.26529452,-103.5487761,Colorado
57550,1.95083143,39.26540338,-103.5677713,Colorado
57556,1.95067444,39.26545781,-103.5689234,Colorado
57562,1.95194173,39.26552118,-103.5704647,Colorado
57568,1.95438406,39.26561778,-103.5723738,Colorado
57574,1.95097627,39.26572182,-103.5746529,Colorado
57580,1.95078973,39.26575999,-103.5754058,Colorado
57586,1.94965316,39.26585698,-103.5776648,Colorado
57592,1.94985405,39.26592776,-103.5791819,Colorado
57598,1.94745785,39.26602441,-103.6340881,Colorado
57604,1.94899134,39.26610227,-103.5830124,Colorado
57610,1.9480857,39.26617289,-103.5845256,Colorado
57616,1.94292775,39.26627552,-103.5867888,Colorado
57622,1.94422913,39.26634718,-103.5883016,Colorado
57628,1.94887674,39.26641823,-103.6330843,Colorado
57634,1.94514375,39.26648352,-103.5912809,Colorado
57640,1.94250329,39.26655009,-103.592745,Colorado
57646,1.94911939,39.2666446,-103.5398231,Colorado
57652,1.94319894,39.26670948,-103.5961432,Colorado
57658,1.94365234,39.26680094,-103.5980735,Colorado
57664,1.94333469,39.26686006,-103.6000066,Colorado
57670,1.94045522,39.26693761,-103.6715153,Colorado
57676,1.94571697,39.26700928,-103.6034466,Colorado
57682,1.94916254,39.26707593,-103.6310143,Colorado
60503,1.94344275,39.26716523,-103.6068421,Colorado
60509,1.94684782,39.26726092,-103.6303063,Colorado
60515,1.94654483,39.26733131,-103.6098813,Colorado
60521,1.94304102,39.2674074,-103.6114046,Colorado
60527,1.94401028,39.26748637,-103.6724182,Colorado
60533,1.94390039,39.26754554,-103.6144307,Colorado
60539,1.94397079,39.2676182,-103.6159375,Colorado
60545,1.94681478,39.26768124,-103.6281213,Colorado
60551,1.94509568,39.26773689,-103.6185803,Colorado
60557,1.94492475,39.26782327,-103.6204968,Colorado
60563,1.94564462,39.26789387,-103.6220418,Colorado
60569,1.94950113,39.26795402,-103.5312194,Colorado
60575,1.94472605,39.26796483,-103.6247321,Colorado
60581,1.94937388,39.26835052,-103.5286129,Colorado
60587,1.94823557,39.26863257,-103.5267479,Colorado
60593,1.94810171,39.26891346,-103.52488,Colorado
60599,1.94951416,39.26914657,-103.5233821,Colorado
60605,1.94306966,39.2695071,-103.6756956,Colorado
60611,1.95011629,39.26994518,-103.5193256,Colorado
60617,1.94927923,39.270399,-103.5175287,Colorado
60623,1.95183999,39.27066881,-103.5164581,Colorado
60629,1.94936836,39.27122506,-103.5143273,Colorado
60635,1.95128537,39.27160096,-103.5128901,Colorado
60641,1.94871854,39.27197457,-103.5114338,Colorado
